Data Graph Vertex ID,hash
"teaching multimedia-engineering: a conceptual framework for project based learning"^^http://www.w3.org/2001/xmlschema#string,101942772
"begriffliche wissensverarbeitung - methoden und anwendungen"^^http://www.w3.org/2001/xmlschema#string,-1467156159
"http://www.aifb.uni-karlsruhe.de/personen/bilder/u1p2l3o4a5d2070"^^http://www.w3.org/2001/xmlschema#string,-428687674
http://www.aifb.uni-karlsruhe.de/publikationen/viewexternerautorowl/id23instance,-1760148979
"http://www.iitk.ac.in/kangal/edited_sirpic.jpg"^^http://www.w3.org/2001/xmlschema#string,-1098680901
"semi-automatic engineering of ontologies from text"^^http://www.w3.org/2001/xmlschema#string,-318487380
"markus franke"^^http://www.w3.org/2001/xmlschema#string,-1395044102
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id522instance,-1018271169
"1999"^^http://www.w3.org/2001/xmlschema#string,-1142989790
"handbook on ontologies"^^http://www.w3.org/2001/xmlschema#string,513108374
http://www.aifb.uni-karlsruhe.de/publikationen/viewexternerautorowl/id405instance,-1278123338
http://informatik.uni-kiel.de/fluid#ub1bl300c18,891870354
http://www.aifb.uni-karlsruhe.de/personen/viewpersonowl/id12instance,-941714578
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id472instance,-640131007
http://www.aifb.uni-karlsruhe.de/publikationen/viewexternerautorowl/id131instance,-1316539450
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id717instance,-1603626096
"business economics"^^http://www.w3.org/2001/xmlschema#string,1510539775
"knowledge discovery"^^http://www.w3.org/2001/xmlschema#string,1281204875
"59-83"^^http://www.w3.org/2001/xmlschema#string,10645610
"efficient search for robust solutions by means of evolutionary algorithms and fitness approximation"^^http://www.w3.org/2001/xmlschema#string,-1390123494
"guidance in evolutionary multi-objective optimization"^^http://www.w3.org/2001/xmlschema#string,1387259913
"boosting for text classification with semantic features"^^http://www.w3.org/2001/xmlschema#string,2028166881
"t. spengler"^^http://www.w3.org/2001/xmlschema#string,383211230
"491 -- 505"^^http://www.w3.org/2001/xmlschema#string,1744437236
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id883instance,928650870
http://www.aifb.uni-karlsruhe.de/publikationen/viewexternerautorowl/id632instance,-22085993
"on the role of a librarian agent in ontology-based knowledge management systems"^^http://www.w3.org/2001/xmlschema#string,-355214385
http://informatik.uni-kiel.de/fluid#ub1bl672c27,1945082478
http://informatik.uni-kiel.de/fluid#ub1bl265c18,1305987724
"enschede, the netherlands"^^http://www.w3.org/2001/xmlschema#string,-1765476756
http://www.aifb.uni-karlsruhe.de/personen/viewpersonowl/id1860instance,-894954261
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id513instance,204327567
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id162instance,-1754277070
"http://www.fensel.com/"^^http://www.w3.org/2001/xmlschema#string,-1021867408
"gio wiederhold"^^http://www.w3.org/2001/xmlschema#string,388174410
"beitr\u00c3\u00a4ge der 33. jahrestagung der gesellschaft f\u00c3\u00bcr informatik e.v. (gi), 29.9.-2.10.2003 in frankfurt am main"^^http://www.w3.org/2001/xmlschema#string,-1701855917
"conceptual structures: inspiration and application. 14th international conference on conceptual structures, iccs 2006, aalborg, denmark, july 2006, proceedings"^^http://www.w3.org/2001/xmlschema#string,-1442962678
"a knowledge discovery workbench for the semantic web"^^http://www.w3.org/2001/xmlschema#string,919133765
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id1093instance,-1378525705
"peter patel-schneider"^^http://www.w3.org/2001/xmlschema#string,-1489305525
"karl fritsche"^^http://www.w3.org/2001/xmlschema#string,-1830952099
http://www.aifb.uni-karlsruhe.de/personen/viewpersonowl/id2100instance,-2123940049
http://www.aifb.uni-karlsruhe.de/publikationen/viewexternerautorowl/id528instance,666144527
"conceptual user tracking"^^http://www.w3.org/2001/xmlschema#string,663735058
http://informatik.uni-kiel.de/fluid#ub1bl522c27,1555788899
"+49 (721) 608 3679"^^http://www.w3.org/2001/xmlschema#string,1190888490
http://www.aifb.uni-karlsruhe.de/forschungsgebiete/viewforschungsgebietowl/id115instance,-2004261730
"knowledge and information systems (kais)"^^http://www.w3.org/2001/xmlschema#string,2123570410
"frederic toussaint"^^http://www.w3.org/2001/xmlschema#string,-1633241610
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id1057instance,491185003
"building and using the semantic web"^^http://www.w3.org/2001/xmlschema#string,-541654614
"48-54"^^http://www.w3.org/2001/xmlschema#string,-978618202
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id241instance,-748603887
http://www.aifb.uni-karlsruhe.de/personen/viewpersonowl/id43instance,1498592594
http://www.aifb.uni-karlsruhe.de/personen/viewpersonowl/id1884instance,-1047289961
"samuel artmann"^^http://www.w3.org/2001/xmlschema#string,-886335444
"luxembourg"^^http://www.w3.org/2001/xmlschema#string,-1191525929
"+49 (721) 606685"^^http://www.w3.org/2001/xmlschema#string,-264858185
"an ontology-based broker: making problem-solving method reuse work"^^http://www.w3.org/2001/xmlschema#string,1673150385
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id489instance,-1984315307
"knowledge discovery, data mining, and machine learning (kdml 2006) track"^^http://www.w3.org/2001/xmlschema#string,922904155
"356-368"^^http://www.w3.org/2001/xmlschema#string,781424309
"in order to reduce the complexity of large knowledge-based systems and promote reusability, means for decomposing them to smaller chunks are required. mike, our knowledge engineering framework, provides three basic means for structuring which are described in this paper: different kinds of knowledge are separated at different knowledge layers, knowledge layers can be structured by modules, and knowledge within modules is expressed in terms of an object-centred data model. in addition, ideas from entity relationship model clustering are adapted and extended to facilitate the understandability of domain knowledge and support the formation of modules."^^http://www.w3.org/2001/xmlschema#string,-1165178222
"proceedings of the european conference on artificial intelligence (ecai'04)"^^http://www.w3.org/2001/xmlschema#string,301256585
"on scheduling cycle shops: classification, complexity and approximation"^^http://www.w3.org/2001/xmlschema#string,1681337607
http://www.aifb.uni-karlsruhe.de/projekte/viewprojektowl/id5instance,-1167847706
"ute rusnak"^^http://www.w3.org/2001/xmlschema#string,-558356555
"http://www.ims.uni-stuttgart.de/~jasmin/"^^http://www.w3.org/2001/xmlschema#string,1361752776
http://www.aifb.uni-karlsruhe.de/publikationen/viewexternerautorowl/id502instance,-1224701780
http://www.aifb.uni-karlsruhe.de/kooperationen/vieworganizationowl/id30instance,1364134014
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id1349instance,15841060
"proc. arbeitskreistreffen knowledge discovery, oldenburg, sept. 2002"^^http://www.w3.org/2001/xmlschema#string,1910983488
"sisyphus-92: models of problem solving"^^http://www.w3.org/2001/xmlschema#string,-673266247
http://www.aifb.uni-karlsruhe.de/publikationen/viewpublikationowl/id249instance,1472324461
http://www.aifb.uni-karlsruhe.de/forschungsgebiete/viewforschungsgebietowl/id133instance,936831697
